"#","Listing ID","St","MLS Area","Address","# Beds","# Full Baths","# Half Baths","# Garage Spaces","Levels","Year Built","Acres","SqFt","List Price","LP$/SqFt","Close$/SqFt","Close Price","Close Date","DOM","CDOM"
"1","2538369","C","RRE","1826 Logan Dr","3","2","0","2.0","1","2003","0.15900","1,433","$366,000","$255.41","$250.87","$359,500","01/04/2024","4","4"
"1","5270893","C","RRE","2307 Loquat Ln","3","2","0","2.0","1","1995","0.16150","1,616","$360,000","$222.77","$222.77","$360,000","11/10/2023","25","24"
"1","9802918","C","RRE","760 Tumlinson Fort Way","3","2","1","2.0","2","2016","0.11580","1,715","$375,000","$218.66","$210.50","$361,000","11/08/2023","77","76"
"1","5232979","C","RRE","431 Maple Run","3","2","0","2.0","1","1985","0.22630","1,311","$350,000","$266.97","$275.74","$361,500","03/28/2024","13","12"
"1","1730244","C","RRE","2612 Willow Way","3","2","1","2.0","2","1993","0.13400","1,692","$365,000","$215.72","$215.72","$365,000","03/01/2024","47","46"
"1","4890536","C","RRE","1615 Autumn Sage Ct","4","2","0","2.0","1","2018","0.25760","1,744","$399,990","$229.35","$211.01","$368,000","01/05/2024","128","127"
"1","3100079","C","RRE","17416 Valentine Dr","3","2","1","2.0","2","2001","0.12880","1,745","$369,900","$211.98","$211.98","$369,900","03/12/2024","4","4"
"1","1739429","C","RRE","1803 Courtney Cv","4","2","1","2.0","2","1998","0.15700","2,070","$369,000","$178.26","$180.68","$374,000","12/05/2023","121","118"
"1","8175464","C","RRE","210 N Georgetown St","3","2","0","1.0","1","1945","0.25830","1,234","$425,000","$344.41","$303.89","$375,000","10/31/2023","188","182"
"1","1601229","C","RRE","1421 Thibodeaux Dr","3","2","1","2.0","2","1998","0.16900","1,702","$385,000","$226.20","$223.27","$380,000","01/22/2024","68","68"
"1","9660455","C","RRE","1981 Prairie Rock Way","3","2","1","2.0","2","2003","0.14150","2,109","$399,000","$189.19","$182.05","$383,948","12/07/2023","54","53"
"1","3317802","C","RRE","600 Andover Dr","3","2","0","2.0","1","1977","0.22810","1,575","$385,000","$244.44","$244.44","$385,000","03/22/2024","21","21"
"1","5484925","C","RRE","2305 Raintree Path","3","2","0","2.0","1","1991","0.15100","1,523","$384,990","$252.78","$252.79","$385,000","10/24/2023","6","6"
"1","8074800","C","RRE","2917 Harvester Ln","3","2","1","2.0","2","2018","0.10800","2,136","$400,000","$187.27","$180.24","$385,000","02/15/2024","165","165"
"1","4805851","C","RRE","1906 Lantana Dr","3","2","0","2.0","1","1995","0.16680","1,817","$399,000","$219.59","$212.44","$386,000","02/06/2024","38","38"
"1","2311306","C","RRE","2032 Rachel Ln","4","2","0","2.0","1","2004","0.11690","1,952","$380,000","$194.67","$199.80","$390,000","03/08/2024","20","20"
"1","5710743","C","RRE","2537 Vernell Way","3","2","0","2.0","1","1998","0.16370","1,784","$399,000","$223.65","$218.61","$390,000","02/22/2024","53","52"
"1","9831524","C","RRE","606 Ridge Crest Dr","4","2","1","2.0","1.5","1977","0.26050","2,257","$397,500","$176.12","$173.68","$392,000","04/02/2024","96","96"
"1","7643402","C","RRE","601 Dover Ln","3","2","0","2.0","1","1986","0.19770","1,529","$400,000","$261.61","$256.70","$392,500","03/07/2024","94","94"
"1","8698213","C","RRE","2212 Sedgewick Ln","4","2","1","2.0","2","1995","0.16130","2,748","$439,000","$159.75","$143.74","$395,000","03/25/2024","147","147"
"1","8018677","C","RRE","2900 Barbed Wire St","3","2","0","2.0","1","2017","0.17250","1,905","$399,900","$209.92","$207.35","$395,000","10/31/2023","19","13"
"1","8934594","C","RRE","2028 Rachel Ln","3","2","0","2.0","1","2006","0.11670","1,847","$387,000","$209.53","$214.94","$397,000","02/29/2024","52","52"
"1","5909307","C","RRE","3101 Anacacho Cv","3","2","0","2.0","1","2001","0.16430","1,886","$399,000","$211.56","$211.56","$399,000","02/28/2024","5","4"
"1","4191758","C","RRE","701 Ridge Crest Dr","3","2","0","2.0","1","1977","0.21890","1,837","$399,000","$217.20","$217.20","$399,000","04/10/2024","25","25"
"1","5207211","C","RRE","2000 Zephyr Ln","3","2","0","2.0","1","1986","0.15100","1,444","$395,000","$273.55","$277.01","$400,000","03/20/2024","46","46"
"1","2839704","C","RRE","808 Windsor Rd","3","2","0","2.0","1","1978","0.20390","1,731","$415,000","$239.75","$231.08","$400,000","04/05/2024","50","47"
"1","2338749","C","RRE","1340 Arizona Mesa Cv","4","2","1","2.0","2","2007","0.15560","2,394","$425,000","$177.53","$167.08","$400,000","11/22/2023","75","73"
"1","2837407","C","RRE","2018 Comanche Falls Cv","4","3","0","2.0","2","2015","0.17690","2,110","$415,000","$196.68","$191.94","$405,000","12/07/2023","73","69"
"1","6420869","C","RRE","1417 Baffin Cv","4","2","1","2.0","2","2000","0.16600","2,351","$414,900","$176.48","$176.52","$415,000","03/27/2024","34","34"
"1","9712044","C","RRE","1500 Robb Ln","3","2","0","2.0","1","1970","0.36900","1,759","$425,000","$241.61","$238.20","$419,000","03/15/2024","21","21"
"1","1922633","C","RRE","2471 Sunrise Rd Unit #77","3","2","0","2.0","1","2019","0.18270","1,726","$424,999","$246.23","$243.34","$420,000","02/15/2024","124","124"
"1","2215216","C","RRE","2205 Willow Way","4","2","1","2.0","2","1993","0.15200","2,376","$449,900","$189.35","$178.03","$423,000","02/16/2024","115","113"
"1","4622327","C","RRE","3038 John Wilson Ln","4","2","1","2.0","2","1997","0.42900","2,071","$429,000","$207.15","$205.21","$425,000","02/16/2024","4","4"
"1","8913308","C","RRE","1981 Prairie Rock Way","3","2","1","2.0","2","2003","0.14150","2,109","$419,900","$199.10","$201.52","$425,000","02/29/2024","56","55"
"1","6742218","C","RRE","2105 Rachel Ln","4","2","1","2.0","2","2007","0.13510","2,860","$447,500","$156.47","$150.35","$430,000","01/08/2024","50","171"
"1","7833557","C","RRE","1708 Bayland St","5","2","1","2.0","2","2005","0.15160","3,164","$459,000","$145.07","$135.90","$430,000","11/28/2023","12","21"
"1","4077275","C","RRE","2205 Conway Cv","4","2","1","2.0","2","2006","0.14600","2,867","$456,000","$159.05","$159.05","$456,000","12/19/2023","47","47"
"1","3074301","C","RRE","402 Dove Creek Dr","3","2","0","2.0","1","1977","0.32690","2,144","$469,000","$218.75","$218.75","$469,000","03/26/2024","15","15"
"1","9593156","C","RRE","1531 N Red Bud Ln Unit #45","3","2","1","2.0","2","2024","0.14900","2,238","$480,884","$214.87","$214.87","$480,884","03/01/2024","0","0"
"1","1880575","C","RRE","16 Evergreen Dr","3","2","0","2.0","1","1980","1.04000","2,032","$489,999","$241.14","$238.68","$485,000","01/26/2024","93","92"
"1","9107178","C","RRE","104 Bob Estes Cv","5","3","0","3.0","2","2007","0.27700","3,018","$500,000","$165.67","$165.67","$500,000","12/15/2023","113","111"
"1","6151007","C","RRE","2244 Casper Cv","6","3","1","2.0","2","1999","0.13000","3,616","$495,000","$136.89","$141.04","$510,000","02/01/2024","234","585"
"1","8607884","C","RRE","1531 N Red Bud Ln Unit #48","5","4","1","2.0","2","2022","0.10000","2,543","$518,150","$203.76","$203.76","$518,150","12/20/2023","0","0"
"1","3161324","C","RRE","1531 N Red Bud Ln Unit #55","4","3","1","2.0","2","2023","0.14900","2,331","$524,900","$225.18","$222.93","$519,651","03/27/2024","11","296"
"1","8622562","C","RRE","1341 Meadowild Dr","4","2","1","2.0","2","1987","0.50400","2,569","$519,900","$202.37","$202.41","$520,000","10/24/2023","55","55"
"1","9762308","C","RRE","1909 Mcqueeny Cv","4","3","0","2.0","1","2017","0.24500","2,654","$530,000","$199.70","$199.70","$530,000","04/17/2024","6","5"
"1","7803713","C","RRE","2408 Hat Bender Loop","4","2","1","2.0","2","2019","0.16450","3,012","$559,000","$185.59","$179.28","$540,000","03/29/2024","121","120"
"1","2364556","C","RRE","140 SILK TREE Ln","3","2","0","3.0","1","2000","0.00000","2,007","$550,000","$274.04","$274.04","$550,000","12/08/2023","3","3"
"1","6145672","C","RRE","619 Palo Duro Loop","4","2","1","2.0","2","2014","0.18180","2,862","$575,000","$200.91","$200.03","$572,500","12/07/2023","28","22"
"1","5721111","C","RRE","3761 Royal Port Rush Dr","4","3","0","2.0","1","1994","0.25000","2,489","$625,000","$251.10","$237.04","$590,000","02/02/2024","29","27"
"1","7401828","C","RRE","2288 Hat Bender Loop","5","4","0","3.0","2","2017","0.23190","3,552","$629,900","$177.34","$168.92","$600,000","12/14/2023","57","55"
"1","6869203","C","RRE","2256 Hat Bender Loop","4","2","1","2.0","1","2018","0.25000","2,438","$599,900","$246.06","$248.56","$606,000","03/15/2024","6","6"
"1","2682403","C","RRE","2259 Shark Loop","5","3","1","2.0","2","1999","0.23670","3,575","$639,000","$178.74","$175.38","$627,000","12/19/2023","138","138"
"1","8203050","C","RRE","6 Wooded Way","4","2","1","2.0","2","1997","0.28000","2,636","$660,000","$250.38","$243.17","$641,000","12/28/2023","115","113"
"1","9083278","C","RRE","609 E Liberty Ave","3","2","0","2.0","2","1930","0.34300","2,221","$675,000","$303.92","$297.16","$660,000","12/15/2023","125","125"
"1","1438768","C","RRE","96 Woodland Ln","4","2","1","2.0","2","1989","0.78000","2,843","$679,000","$238.83","$233.91","$665,000","04/12/2024","82","81"
"1","9743637","C","RRE","6 Valley Trl","6","4","0","3.0","1","1983","2.37000","4,148","$825,000","$198.89","$165.14","$685,000","12/08/2023","88","178"
"1","6692389","C","RRE","1938 Mulligan Dr","5","3","1","2.0","2","2000","0.26210","3,888","$725,000","$186.47","$185.19","$720,000","04/12/2024","123","123"
"1","2772347","C","RRE","3809 Pebble Ct","4","3","1","3.0","2","2003","0.22100","2,981","$765,000","$256.63","$248.24","$740,000","12/18/2023","57","56"
"1","9384342","C","RRE","4 Wilderness Way","4","3","0","3.0","2","1990","0.49730","3,081","$775,000","$251.54","$245.05","$755,000","04/05/2024","6","6"
"1","8381995","C","RRE","4 Scenic Cv","4","3","1","2.0","1","1993","0.49270","3,018","$795,500","$263.59","$258.45","$780,000","10/27/2023","68","192"
"1","2350100","C","RRE","3 Misty Woods","4","3","1","3.0","1","1999","0.54200","3,244","$790,000","$243.53","$242.60","$787,000","02/23/2024","24","22"
"1","8909928","C","RRE","3620 Carnousty Cv","4","3","1","2.0","2","2015","0.33570","3,471","$899,900","$259.26","$254.68","$884,000","04/15/2024","6","6"
"1","6766203","C","RRE","3224 Bay Hill Ln","5","4","1","3.0","2","2000","0.37310","5,732","$1,275,000","$222.44","$213.71","$1,225,000","02/15/2024","143","143"
